Meta-level Policy,pretrained_percentile,index,gpus,max_tree_size,n_episodes,max_steps,video_fps,video_steps,expand_all_actions,finish_on_terminate,action_repeats,collect_steps_per_iteration,discount,epsilon,epsilon_decay_steps,epsilon_schedule,eval_steps,experience_batch_size,final_epsilon,frame_stack,grayscale,initial_collect_steps,initial_epsilon,learning_rate,max_epochs,model_config,n_collect_envs,n_eval_envs,n_video_envs,replay_buffer_capacity,target_network_update_period,train_steps_per_epoch,video_seconds,pretrained_epoch,pretrained_return,EvalRewrittenAverageReturn,EvalNumberOfEpisodes,EvalEnvironmentSteps,EvalAverageReturn,EvalAverageEpisodeLength,EvalTime,ObjectLevelMeanReward,ObjectLevelMeanStepsPerEpisode,ObjectLevelEpisodes,wandb_version,eval_interval,num_iterations,policy_save_interval,collect_steps,summary_interval,train_num_steps,train_batch_size,env_batch_size,num_learn_samples,meta_discount,meta_time_limit,seed,max_cost_of_computation,min_train_computation_steps,object_discount,transformer_d_model,transformer_n_layers,transformer_n_heads,n_lstm_layers
AStar,0.25,1.0,,64.0,100.0,500.0,1.0,10.0,1.0,1.0,4.0,1.0,0.999,0.1,250000.0,0.0,1000.0,64.0,0.1,0.0,0.0,500.0,1.0,0.00025,500.0,,64.0,64.0,12.0,1024.0,10000.0,20000.0,60.0,7.0,15.672922,0.5504771,22432.0,201888.0,0.59805906,9.0,5751.72022652626,43.62,201.47,100.0,,,,,,,,,,,,,,,,,,,,
AStar,0.5,5.0,,64.0,100.0,500.0,1.0,10.0,1.0,1.0,4.0,1.0,0.999,0.1,250000.0,0.0,1000.0,64.0,0.1,0.0,0.0,500.0,1.0,0.00025,500.0,,64.0,64.0,12.0,1024.0,10000.0,20000.0,60.0,21.0,21.514286,0.5505183,26848.0,241632.0,3.6221707,9.0,7117.975420236588,56.89,254.37,100.0,,,,,,,,,,,,,,,,,,,,
AStar,0.75,9.0,,64.0,100.0,500.0,1.0,10.0,1.0,1.0,4.0,1.0,0.999,0.1,250000.0,0.0,1000.0,64.0,0.1,0.0,0.0,500.0,1.0,0.00025,500.0,,64.0,64.0,12.0,1024.0,10000.0,20000.0,60.0,40.0,30.722221,0.42609072,24696.0,222264.0,0.23564546,9.0,6507.705378770828,56.06,237.57,100.0,,,,,,,,,,,,,,,,,,,,
AStar,0.9,13.0,,64.0,100.0,500.0,1.0,10.0,1.0,1.0,4.0,1.0,0.999,0.1,250000.0,0.0,1000.0,64.0,0.1,0.0,0.0,500.0,1.0,0.00025,500.0,,64.0,64.0,12.0,1024.0,10000.0,20000.0,60.0,60.0,37.204189,0.30960542,21608.0,194472.0,7.457599,9.0,5533.482763528824,48.19,202.15,100.0,,,,,,,,,,,,,,,,,,,,
Learned Meta-Policy,0.25,0.0,,64.0,,,,,1.0,1.0,4.0,1.0,0.999,0.1,250000.0,0.0,1000.0,64.0,0.1,0.0,0.0,500.0,1.0,0.00025,500.0,,64.0,64.0,12.0,1024.0,10000.0,20000.0,60.0,7.0,15.672922,0.9498462,4133.0,37145.0,3.5250154,9.0,1933.752728223801,46.4,205.75,20.0,1.0,15.0,2000.0,1.0,4096.0,1000.0,64.0,32.0,64.0,10.0,0.99,500.0,0.0,0.002,5.0,0.99,16.0,2.0,3.0,0.0
Learned Meta-Policy,0.5,1.5,,64.0,,,,,1.0,1.0,4.0,1.0,0.999,0.1,250000.0,0.0,1000.0,64.0,0.1,0.0,0.0,500.0,1.0,0.00025,500.0,,64.0,64.0,12.0,1024.0,10000.0,20000.0,60.0,21.0,21.514286,0.867736725,6011.0,53979.0,0.507682385,9.0,2886.509763598442,70.025,299.85,20.0,1.0,15.0,2000.0,1.0,4096.0,1000.0,64.0,80.0,64.0,7.5,0.99,500.0,0.0,0.002,5.0,0.99,16.0,2.0,3.0,0.0
Learned Meta-Policy,0.75,0.5,,64.0,,,,,1.0,1.0,4.0,1.0,0.999,0.1,250000.0,0.0,1000.0,64.0,0.1,0.0,0.0,500.0,1.0,0.00025,500.0,,64.0,64.0,12.0,1024.0,10000.0,20000.0,60.0,40.0,30.722221,0.77942963,4470.0,39717.5,2.6434350450000004,9.0,2165.990166425705,58.275,222.725,20.0,1.0,15.0,2000.0,1.0,4096.0,1000.0,64.0,48.0,64.0,7.5,0.99,500.0,0.0,0.002,5.0,0.99,16.0,2.0,3.0,0.0
Learned Meta-Policy,0.9,0.0,,64.0,,,,,1.0,1.0,4.0,1.0,0.999,0.1,250000.0,0.0,1000.0,64.0,0.1,0.0,0.0,500.0,1.0,0.00025,500.0,,64.0,64.0,12.0,1024.0,10000.0,20000.0,60.0,60.0,37.204189,0.65407366,5046.0,45398.0,1.2001022,9.0,2959.0544362068176,64.95,251.45,20.0,1.0,15.0,2000.0,1.0,2048.0,1000.0,64.0,32.0,64.0,10.0,0.99,500.0,0.0,0.002,5.0,0.99,16.0,2.0,3.0,0.0
Random (No Terminate),0.25,3.0,,64.0,100.0,500.0,1.0,10.0,1.0,1.0,4.0,1.0,0.999,0.1,250000.0,0.0,1000.0,64.0,0.1,0.0,0.0,500.0,1.0,0.00025,500.0,,64.0,64.0,12.0,1024.0,10000.0,20000.0,60.0,7.0,15.672922,0.43751344,23056.0,207504.0,-0.19163212,9.0,3091.83499956131,40.58,199.56,100.0,,,,,,,,,,,,,,,,,,,,
Random (No Terminate),0.5,7.0,,64.0,100.0,500.0,1.0,10.0,1.0,1.0,4.0,1.0,0.999,0.1,250000.0,0.0,1000.0,64.0,0.1,0.0,0.0,500.0,1.0,0.00025,500.0,,64.0,64.0,12.0,1024.0,10000.0,20000.0,60.0,21.0,21.514286,0.51531094,34824.0,313416.0,2.1056528,9.0,4944.686610460281,68.59,335.66,100.0,,,,,,,,,,,,,,,,,,,,
