index,Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return,gpus,pretrained_runs_folder,pretrained_run,max_tree_size,n_envs,n_episodes,max_steps,no_video,video_fps,video_steps,Normalized Return,Environment
389,,$\hat{Q}^*$,0.9,109.5,15.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.37349397590361444,BigFish
298,,$\hat{Q}^*$,0.75,117.75,13.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.3192771084337349,BigFish
297,,$\hat{Q}^*$,0.75,55.0,4.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.10843373493975904,BigFish
296,,$\hat{Q}^*$,0.75,79.25,13.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.3253012048192771,BigFish
295,,$\hat{Q}^*$,0.75,61.0,10.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.24096385542168675,BigFish
294,,$\hat{Q}^*$,0.75,46.25,10.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.24096385542168675,BigFish
293,,$\hat{Q}^*$,0.75,125.0,15.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.37349397590361444,BigFish
292,,$\hat{Q}^*$,0.75,27.75,2.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.060240963855421686,BigFish
291,,$\hat{Q}^*$,0.75,34.5,2.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.04819277108433735,BigFish
290,,$\hat{Q}^*$,0.75,59.5,10.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.24096385542168675,BigFish
289,,$\hat{Q}^*$,0.75,125.0,15.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.37349397590361444,BigFish
288,,$\hat{Q}^*$,0.75,125.0,10.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.25903614457831325,BigFish
287,,$\hat{Q}^*$,0.75,13.75,1.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.024096385542168676,BigFish
286,,$\hat{Q}^*$,0.75,44.5,10.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.24096385542168675,BigFish
285,,$\hat{Q}^*$,0.75,75.25,11.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.27710843373493976,BigFish
284,,$\hat{Q}^*$,0.75,29.75,2.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.060240963855421686,BigFish
283,,$\hat{Q}^*$,0.75,25.5,2.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.05421686746987952,BigFish
282,,$\hat{Q}^*$,0.75,32.75,4.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0963855421686747,BigFish
281,,$\hat{Q}^*$,0.75,125.0,22.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.5481927710843374,BigFish
280,,$\hat{Q}^*$,0.75,125.0,17.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.42771084337349397,BigFish
279,,$\hat{Q}^*$,0.75,17.0,1.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.024096385542168676,BigFish
278,,$\hat{Q}^*$,0.75,125.0,17.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.40963855421686746,BigFish
277,,$\hat{Q}^*$,0.75,18.0,2.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.05421686746987952,BigFish
276,,$\hat{Q}^*$,0.75,43.75,10.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.24096385542168675,BigFish
299,,$\hat{Q}^*$,0.75,99.25,12.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.3072289156626506,BigFish
275,,$\hat{Q}^*$,0.75,25.25,0.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.018072289156626505,BigFish
300,,$\hat{Q}^*$,0.75,125.0,14.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.3433734939759036,BigFish
302,,$\hat{Q}^*$,0.75,42.0,3.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.08433734939759036,BigFish
325,,$\hat{Q}^*$,0.9,10.75,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.006024096385542169,BigFish
324,,$\hat{Q}^*$,0.9,73.25,12.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.29518072289156627,BigFish
323,,$\hat{Q}^*$,0.9,25.75,3.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.09036144578313253,BigFish
322,,$\hat{Q}^*$,0.9,8.5,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.006024096385542169,BigFish
321,,$\hat{Q}^*$,0.9,14.25,1.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.03614457831325301,BigFish
320,,$\hat{Q}^*$,0.9,46.75,10.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.24096385542168675,BigFish
319,,$\hat{Q}^*$,0.9,44.25,10.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.24096385542168675,BigFish
318,,$\hat{Q}^*$,0.9,13.75,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.006024096385542169,BigFish
317,,$\hat{Q}^*$,0.9,4.0,0.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.012048192771084338,BigFish
