index,Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return,gpus,pretrained_runs_folder,pretrained_run,max_tree_size,n_envs,n_episodes,max_steps,no_video,video_fps,video_steps,Normalized Return,Environment,compute_meta_rewards,create_videos,render_plans,env,wandb_version,eval_interval,num_iterations,eval_steps,policy_save_interval,collect_steps,summary_interval,train_num_steps,train_batch_size,env_batch_size,num_learn_samples,root_dir,n_collect_envs,n_eval_envs,n_video_envs,expand_all_actions,meta_discount,meta_time_limit,seed,computational_rewards,max_cost_of_computation,finish_on_terminate,min_train_computation_steps,no_rewrite_rewards,ablate_state_tokenise,ablate_struc_tokenise,object_discount,agent,transformer_d_model,transformer_n_layers,transformer_n_heads,n_lstm_layers,pretrained_percentile,object_level_config,_wandb,min_computation_steps,create_intermediate_search_policies,action_repeats,agent_name,collect_steps_per_iteration,discount,epsilon,epsilon_decay_steps,epsilon_schedule,experience_batch_size,final_epsilon,frame_stack,grayscale,initial_collect_steps,initial_epsilon,learning_rate,max_epochs,metrics,model_config,name,optimiser_config,procgen_env_name,replay_buffer_capacity,run_dir,target_network_update_period,train_steps_per_epoch,video_seconds,pretrained_epoch,pretrained_return,pretrained_path,return,steps,n_computations,total_computational_cost,percentiles,baselines
78,,$\hat{Q}^*$,0.25,60.0,3.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.08695652173913043,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,$\hat{Q}^*$,0.25,27.25,3.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.10144927536231885,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,$\hat{Q}^*$,0.25,34.25,3.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.08695652173913043,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,$\hat{Q}^*$,0.25,59.5,7.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.2246376811594203,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,$\hat{Q}^*$,0.25,73.25,4.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.13768115942028986,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,$\hat{Q}^*$,0.25,32.5,1.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.050724637681159424,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,$\hat{Q}^*$,0.25,22.0,2.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.057971014492753624,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,$\hat{Q}^*$,0.25,7.75,0.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.014492753623188406,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,$\hat{Q}^*$,0.25,16.25,1.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.028985507246376812,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,$\hat{Q}^*$,0.25,26.5,3.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.10144927536231885,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,$\hat{Q}^*$,0.25,95.5,17.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.5072463768115942,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,$\hat{Q}^*$,0.25,51.75,7.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.2246376811594203,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,$\hat{Q}^*$,0.25,44.75,7.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.21739130434782608,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,$\hat{Q}^*$,0.25,12.25,1.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.043478260869565216,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,$\hat{Q}^*$,0.25,76.75,7.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.2246376811594203,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,$\hat{Q}^*$,0.25,33.75,4.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.13043478260869565,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,$\hat{Q}^*$,0.25,26.75,2.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.057971014492753624,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,$\hat{Q}^*$,0.25,11.25,1.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.028985507246376812,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,$\hat{Q}^*$,0.25,83.5,15.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.45652173913043476,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,$\hat{Q}^*$,0.25,125.0,13.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.39855072463768115,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,$\hat{Q}^*$,0.25,86.5,11.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.32608695652173914,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,$\hat{Q}^*$,0.25,15.75,1.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.028985507246376812,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,$\hat{Q}^*$,0.25,42.75,7.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.21014492753623187,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,$\hat{Q}^*$,0.25,16.0,1.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.050724637681159424,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,$\hat{Q}^*$,0.25,52.75,10.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.2898550724637681,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,$\hat{Q}^*$,0.25,24.25,2.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.057971014492753624,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,$\hat{Q}^*$,0.25,18.75,2.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.06521739130434782,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,$\hat{Q}^*$,0.25,5.0,0.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.014492753623188406,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,$\hat{Q}^*$,0.25,10.25,1.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.036231884057971016,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,$\hat{Q}^*$,0.25,5.5,0.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.014492753623188406,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,$\hat{Q}^*$,0.25,25.75,1.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.043478260869565216,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,$\hat{Q}^*$,0.25,4.25,0.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.021739130434782608,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,$\hat{Q}^*$,0.25,40.75,3.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.10144927536231885,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
