Meta-level Policy,Pretrained Percentile,Number of Steps,Return
Terminator,0.25,3,0.0
Terminator,0.25,13,1.0
Terminator,0.25,16,2.0
Terminator,0.25,20,0.0
Terminator,0.25,23,5.0
Terminator,0.25,24,0.0
Terminator,0.25,15,2.0
Terminator,0.25,14,1.0
Terminator,0.25,39,6.0
Terminator,0.25,43,1.0
Terminator,0.5,28,1.0
Terminator,0.5,25,4.0
Terminator,0.5,77,7.0
Terminator,0.5,93,9.0
Terminator,0.5,17,0.0
Terminator,0.5,7,0.0
Terminator,0.5,166,17.0
Terminator,0.5,141,18.0
Terminator,0.5,229,31.0
Terminator,0.5,14,0.0
Terminator,0.75,30,5.0
Terminator,0.75,6,0.0
Terminator,0.75,37,3.0
Terminator,0.75,57,3.0
Terminator,0.75,103,6.0
Terminator,0.75,185,20.0
Terminator,0.75,184,40.0
Terminator,0.75,245,23.0
Terminator,0.75,64,4.0
Terminator,0.75,388,42.0
Terminator,0.9,56,5.0
Terminator,0.9,69,8.0
Terminator,0.9,20,1.0
Terminator,0.9,14,0.0
Terminator,0.9,106,17.0
Terminator,0.9,111,17.0
Terminator,0.9,185,40.0
Terminator,0.9,197,40.0
Terminator,0.9,213,25.0
Terminator,0.9,210,27.0
