Meta-level Policy,gpus,pretrained_runs_folder,pretrained_run,max_tree_size,eval_steps_per_env,no_video,video_fps,video_steps,pretrained_percentile,expand_all_actions,finish_on_terminate,action_repeats,agent_name,collect_steps_per_iteration,discount,env,epsilon,epsilon_decay_steps,epsilon_schedule,eval_steps,experience_batch_size,final_epsilon,frame_stack,grayscale,initial_collect_steps,initial_epsilon,learning_rate,max_epochs,metrics,model_config,n_collect_envs,n_eval_envs,n_video_envs,name,optimiser_config,procgen_env_name,replay_buffer_capacity,run_dir,target_network_update_period,train_steps_per_epoch,video_seconds,pretrained_epoch,pretrained_return,pretrained_path,EvalRewrittenAverageReturn,EvalNumberOfEpisodes,EvalEnvironmentSteps,EvalAverageReturn,EvalAverageEpisodeLength,EvalTime,ObjectLevelMeanReward,ObjectLevelMeanStepsPerEpisode,ObjectLevelEpisodes,EvalFinalPolicyValue
Terminator,,runs,run-16823527592836354,64,3000,False,1,120,0.25,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,0.0,96000,96000,0.0,1.0,1789.4945516586304,17.255707762557076,146.11872146118722,657,
AStar,,runs,run-16823527592836354,64,3000,False,1,120,0.25,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,-0.22543724,10656,96000,2.625998,9.0,3013.5754556655884,28.80851063829787,191.29787234042553,47,19.13922213048703
Random,,runs,run-16823527592836354,64,3000,False,1,120,0.25,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,-76.062035,29434,96011,72.72015,3.2588842,2283.1783146858215,22.071428571428573,175.20238095238096,168,18.486876743676703
RandomNoTerminate,,runs,run-16823527592836354,64,3000,False,1,120,0.25,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,7,15.672922,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_7_15.672922,-64.67063,23813,96005,67.5295,4.027716,2252.234220981598,17.49673202614379,155.640522875817,153,18.434294706952798
Terminator,,runs,run-16823527592836354,64,3000,False,1,120,0.5,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,0.0,48000,48000,0.0,1.0,928.0613276958466,24.979591836734695,244.89795918367346,196,
AStar,,runs,run-16823527592836354,64,3000,False,1,120,0.5,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,-0.22857648,5328,48000,3.599443,9.0,1557.0015425682068,35.57142857142857,190.28571428571428,14,24.19795569163831
Random,,runs,run-16823527592836354,64,3000,False,1,120,0.5,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,-62.252575,14802,48000,117.193794,3.239765,1181.5298624038696,30.65,246.7,60,23.48415140735388
RandomNoTerminate,,runs,run-16823527592836354,64,3000,False,1,120,0.5,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,21,21.514286,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_21_21.514286,-41.209732,11904,48004,112.17065,4.028226,1167.922364473343,31.75,289.25,36,23.7182311927358
Terminator,,runs,run-16823527592836354,64,3000,False,1,120,0.75,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,40,30.722221,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_40_30.722221,0.0,48000,48000,0.0,1.0,933.8129246234894,32.19230769230769,263.7362637362637,182,
AStar,,runs,run-16823527592836354,64,3000,False,1,120,0.75,True,True,4,categorical_dqn_agent,1,0.999,bigfish,0.1,250000,False,1000,64,0.1,0,False,500,1.0,0.00025,500,[],N/A,64,64,12,run,"{'amsgrad': False, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'learning_rate': 0.0002500000118743628, 'name': 'Adam'}",bigfish,1024,./runs/categorical_dqn_agent/run-16823527592836354,10000,20000,60,40,30.722221,runs/categorical_dqn_agent/run-16823527592836354/model_weights/sequential_best_40_30.722221,-0.22342703,5328,48000,3.0204484,9.0,1525.9231715202332,43.1,216.45,20,27.988515644174797
