Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,AStar,0.25,29,0.0
,AStar,0.25,322,54.0
,AStar,0.25,500,117.0
,AStar,0.25,500,107.0
,AStar,0.25,500,111.0
,AStar,0.25,500,107.0
,AStar,0.25,500,128.0
,AStar,0.25,500,86.0
,AStar,0.25,500,126.0
,AStar,0.25,500,112.0
,AStar,0.25,500,101.0
,AStar,0.25,500,109.0
,AStar,0.25,500,101.0
,AStar,0.25,500,104.0
,AStar,0.25,500,98.0
,AStar,0.25,500,94.0
,AStar,0.25,500,98.0
,Instant Terminate,0.25,10,0.0
,Instant Terminate,0.25,24,2.0
,Instant Terminate,0.25,33,5.0
,Instant Terminate,0.25,36,2.0
,Instant Terminate,0.25,13,0.0
,Instant Terminate,0.25,56,11.0
,Instant Terminate,0.25,64,10.0
,Instant Terminate,0.25,70,13.0
,Instant Terminate,0.25,50,4.0
,Instant Terminate,0.25,13,0.0
,Instant Terminate,0.25,95,7.0
,Instant Terminate,0.25,99,12.0
,Instant Terminate,0.25,19,2.0
,Instant Terminate,0.25,75,12.0
,Instant Terminate,0.25,108,13.0
,Instant Terminate,0.25,188,14.0
,Instant Terminate,0.25,192,34.0
,Instant Terminate,0.25,220,16.0
,Instant Terminate,0.25,222,25.0
,Instant Terminate,0.25,135,14.0
,Instant Terminate,0.25,52,8.0
,Instant Terminate,0.25,248,25.0
,Instant Terminate,0.25,177,19.0
,Instant Terminate,0.25,140,21.0
,Instant Terminate,0.25,276,48.0
,Instant Terminate,0.25,209,20.0
,Instant Terminate,0.25,57,4.0
,Instant Terminate,0.25,38,3.0
,Instant Terminate,0.25,68,6.0
,Instant Terminate,0.25,183,27.0
,Instant Terminate,0.25,302,33.0
,Instant Terminate,0.25,345,43.0
,Instant Terminate,0.25,123,14.0
,Instant Terminate,0.25,125,11.0
,Instant Terminate,0.25,82,10.0
,Instant Terminate,0.25,60,11.0
,Instant Terminate,0.25,402,68.0
,Instant Terminate,0.25,114,18.0
,Instant Terminate,0.25,54,5.0
,Instant Terminate,0.25,115,10.0
,Instant Terminate,0.25,20,3.0
,Instant Terminate,0.25,254,25.0
,Instant Terminate,0.25,22,0.0
,Instant Terminate,0.25,58,7.0
,Instant Terminate,0.25,97,8.0
,Instant Terminate,0.25,211,40.0
,Instant Terminate,0.25,64,7.0
,Instant Terminate,0.25,171,29.0
,Instant Terminate,0.25,63,4.0
,Instant Terminate,0.25,346,45.0
,Instant Terminate,0.25,500,55.0
,Instant Terminate,0.25,334,63.0
