Meta-level Policy,Pretrained Percentile,Number of Steps,Return
Instant Terminate,0.25,10,0.0
Instant Terminate,0.25,24,2.0
Instant Terminate,0.25,33,5.0
Instant Terminate,0.25,36,2.0
Instant Terminate,0.25,13,0.0
Instant Terminate,0.25,56,11.0
Instant Terminate,0.25,64,10.0
Instant Terminate,0.25,70,13.0
Instant Terminate,0.25,50,4.0
Instant Terminate,0.25,13,0.0
Instant Terminate,0.25,95,7.0
Instant Terminate,0.25,99,12.0
Instant Terminate,0.25,19,2.0
Instant Terminate,0.25,75,12.0
Instant Terminate,0.25,108,13.0
Instant Terminate,0.25,188,14.0
Instant Terminate,0.25,192,34.0
Instant Terminate,0.25,220,16.0
Instant Terminate,0.25,222,25.0
Instant Terminate,0.25,135,14.0
Instant Terminate,0.25,52,8.0
Instant Terminate,0.25,248,25.0
Instant Terminate,0.25,177,19.0
Instant Terminate,0.25,140,21.0
Instant Terminate,0.25,276,48.0
Instant Terminate,0.25,209,20.0
Instant Terminate,0.25,57,4.0
Instant Terminate,0.25,38,3.0
Instant Terminate,0.25,68,6.0
Instant Terminate,0.25,183,27.0
Instant Terminate,0.25,302,33.0
Instant Terminate,0.25,345,43.0
Instant Terminate,0.25,123,14.0
Instant Terminate,0.25,125,11.0
Instant Terminate,0.25,82,10.0
Instant Terminate,0.25,60,11.0
Instant Terminate,0.25,402,68.0
Instant Terminate,0.25,114,18.0
Instant Terminate,0.25,54,5.0
Instant Terminate,0.25,115,10.0
Instant Terminate,0.25,20,3.0
Instant Terminate,0.25,254,25.0
Instant Terminate,0.25,22,0.0
Instant Terminate,0.25,58,7.0
Instant Terminate,0.25,97,8.0
Instant Terminate,0.25,211,40.0
Instant Terminate,0.25,64,7.0
Instant Terminate,0.25,171,29.0
Instant Terminate,0.25,63,4.0
Instant Terminate,0.25,346,45.0
Instant Terminate,0.25,500,55.0
Instant Terminate,0.25,334,63.0
Instant Terminate,0.25,45,4.0
Instant Terminate,0.25,107,8.0
Instant Terminate,0.25,135,18.0
Instant Terminate,0.25,307,31.0
Instant Terminate,0.25,49,6.0
Instant Terminate,0.25,179,30.0
Instant Terminate,0.25,207,31.0
Instant Terminate,0.25,382,70.0
Instant Terminate,0.25,106,14.0
Instant Terminate,0.25,240,12.0
Instant Terminate,0.25,65,4.0
Instant Terminate,0.25,31,2.0
Instant Terminate,0.25,88,8.0
Instant Terminate,0.25,130,7.0
Instant Terminate,0.25,293,19.0
Instant Terminate,0.25,238,31.0
Instant Terminate,0.25,137,12.0
Instant Terminate,0.25,109,14.0
Instant Terminate,0.25,75,9.0
Instant Terminate,0.25,20,2.0
Instant Terminate,0.25,41,5.0
Instant Terminate,0.25,22,2.0
Instant Terminate,0.25,22,1.0
Instant Terminate,0.25,500,81.0
Instant Terminate,0.25,14,1.0
Instant Terminate,0.25,188,18.0
Instant Terminate,0.25,22,1.0
Instant Terminate,0.25,80,7.0
Instant Terminate,0.25,46,1.0
Instant Terminate,0.25,327,49.0
Instant Terminate,0.25,233,14.0
Instant Terminate,0.25,253,48.0
Instant Terminate,0.25,63,4.0
Instant Terminate,0.25,64,7.0
Instant Terminate,0.25,363,28.0
Instant Terminate,0.25,117,21.0
Instant Terminate,0.25,104,17.0
Instant Terminate,0.25,361,42.0
Instant Terminate,0.25,32,1.0
Instant Terminate,0.25,53,5.0
Instant Terminate,0.25,86,3.0
Instant Terminate,0.25,32,1.0
Instant Terminate,0.25,111,2.0
Instant Terminate,0.25,77,11.0
Instant Terminate,0.25,135,13.0
Instant Terminate,0.25,163,14.0
Instant Terminate,0.25,17,3.0
Instant Terminate,0.25,103,6.0
AStar,0.25,10,0.0
AStar,0.25,38,2.0
AStar,0.25,51,1.0
AStar,0.25,51,9.0
AStar,0.25,62,13.0
AStar,0.25,99,15.0
AStar,0.25,117,15.0
AStar,0.25,73,6.0
AStar,0.25,77,7.0
AStar,0.25,148,20.0
AStar,0.25,167,24.0
AStar,0.25,168,42.0
AStar,0.25,179,40.0
AStar,0.25,252,80.0
AStar,0.25,255,49.0
AStar,0.25,13,1.0
AStar,0.25,140,40.0
AStar,0.25,317,50.0
AStar,0.25,200,40.0
AStar,0.25,21,1.0
AStar,0.25,279,85.0
AStar,0.25,213,50.0
AStar,0.25,359,63.0
AStar,0.25,383,87.0
AStar,0.25,292,72.0
AStar,0.25,392,69.0
AStar,0.25,234,51.0
AStar,0.25,86,9.0
AStar,0.25,157,41.0
AStar,0.25,278,64.0
AStar,0.25,312,80.0
AStar,0.25,26,4.0
AStar,0.25,21,2.0
AStar,0.25,183,44.0
AStar,0.25,132,19.0
AStar,0.25,486,121.0
AStar,0.25,3,0.0
AStar,0.25,371,87.0
AStar,0.25,222,41.0
AStar,0.25,6,1.0
AStar,0.25,40,3.0
AStar,0.25,343,80.0
AStar,0.25,100,12.0
AStar,0.25,191,43.0
AStar,0.25,290,80.0
AStar,0.25,35,4.0
AStar,0.25,309,49.0
AStar,0.25,29,3.0
AStar,0.25,1,0.0
AStar,0.25,230,43.0
AStar,0.25,349,86.0
AStar,0.25,193,44.0
AStar,0.25,126,40.0
AStar,0.25,228,46.0
AStar,0.25,236,41.0
AStar,0.25,177,40.0
AStar,0.25,164,42.0
AStar,0.25,400,120.0
AStar,0.25,178,42.0
AStar,0.25,287,40.0
AStar,0.25,221,55.0
AStar,0.25,153,42.0
AStar,0.25,56,12.0
AStar,0.25,500,91.0
AStar,0.25,148,40.0
AStar,0.25,124,40.0
AStar,0.25,485,120.0
AStar,0.25,500,107.0
AStar,0.25,500,113.0
AStar,0.25,217,43.0
AStar,0.25,6,0.0
AStar,0.25,59,12.0
AStar,0.25,142,41.0
AStar,0.25,63,11.0
AStar,0.25,99,19.0
AStar,0.25,49,5.0
AStar,0.25,168,40.0
AStar,0.25,212,43.0
AStar,0.25,86,7.0
AStar,0.25,39,5.0
AStar,0.25,206,49.0
AStar,0.25,100,17.0
AStar,0.25,40,6.0
AStar,0.25,314,80.0
AStar,0.25,349,59.0
AStar,0.25,259,51.0
AStar,0.25,500,103.0
AStar,0.25,258,47.0
AStar,0.25,423,124.0
AStar,0.25,292,58.0
AStar,0.25,120,13.0
AStar,0.25,174,42.0
AStar,0.25,500,126.0
AStar,0.25,129,6.0
AStar,0.25,213,40.0
AStar,0.25,171,46.0
AStar,0.25,377,92.0
AStar,0.25,500,105.0
AStar,0.25,500,109.0
AStar,0.25,116,40.0
Random,0.25,17,1.0
Random,0.25,12,1.0
Random,0.25,16,0.0
Random,0.25,21,0.0
Random,0.25,39,2.0
Random,0.25,26,2.0
Random,0.25,56,2.0
Random,0.25,61,9.0
Random,0.25,122,23.0
Random,0.25,13,0.0
Random,0.25,88,8.0
Random,0.25,61,6.0
Random,0.25,161,19.0
Random,0.25,13,1.0
Random,0.25,28,1.0
Random,0.25,170,45.0
Random,0.25,13,1.0
Random,0.25,68,7.0
Random,0.25,39,6.0
Random,0.25,9,0.0
Random,0.25,44,4.0
Random,0.25,248,51.0
Random,0.25,215,41.0
Random,0.25,43,4.0
Random,0.25,16,1.0
Random,0.25,247,40.0
Random,0.25,268,48.0
Random,0.25,274,23.0
Random,0.25,16,2.0
Random,0.25,280,32.0
Random,0.25,312,29.0
Random,0.25,69,4.0
Random,0.25,48,6.0
Random,0.25,313,47.0
Random,0.25,29,2.0
Random,0.25,78,7.0
Random,0.25,18,1.0
Random,0.25,51,3.0
Random,0.25,358,67.0
Random,0.25,113,8.0
Random,0.25,66,9.0
Random,0.25,49,6.0
Random,0.25,477,55.0
Random,0.25,148,24.0
Random,0.25,57,6.0
Random,0.25,143,40.0
Random,0.25,28,3.0
Random,0.25,75,9.0
Random,0.25,31,2.0
Random,0.25,20,0.0
Random,0.25,500,66.0
Random,0.25,487,70.0
Random,0.25,11,0.0
Random,0.25,355,50.0
Random,0.25,62,10.0
Random,0.25,15,1.0
Random,0.25,214,23.0
Random,0.25,159,27.0
Random,0.25,185,43.0
Random,0.25,80,12.0
Random,0.25,377,46.0
Random,0.25,500,86.0
Random,0.25,7,0.0
Random,0.25,88,7.0
Random,0.25,101,9.0
Random,0.25,31,2.0
Random,0.25,438,68.0
Random,0.25,21,2.0
Random,0.25,500,64.0
Random,0.25,500,83.0
Random,0.25,500,77.0
Random,0.25,29,4.0
Random,0.25,149,16.0
Random,0.25,33,1.0
Random,0.25,46,2.0
Random,0.25,338,81.0
Random,0.25,90,8.0
Random,0.25,500,88.0
Random,0.25,153,19.0
Random,0.25,57,4.0
Random,0.25,290,26.0
Random,0.25,206,30.0
Random,0.25,128,20.0
Random,0.25,103,11.0
Random,0.25,234,29.0
Random,0.25,220,45.0
Random,0.25,45,7.0
Random,0.25,286,45.0
