Meta-level Policy,Pretrained Percentile,Number of Steps,Return
Terminator,0.25,7,0.0
Terminator,0.25,10,0.0
Terminator,0.25,11,1.0
Terminator,0.25,15,1.0
Terminator,0.25,23,2.0
Terminator,0.25,13,1.0
Terminator,0.25,26,3.0
Terminator,0.25,37,4.0
Terminator,0.25,38,3.0
Terminator,0.25,28,6.0
Terminator,0.25,54,7.0
Terminator,0.25,57,13.0
Terminator,0.25,51,4.0
Terminator,0.25,20,2.0
Terminator,0.25,83,5.0
Terminator,0.25,55,7.0
Terminator,0.25,87,10.0
Terminator,0.25,81,6.0
Terminator,0.25,39,0.0
Terminator,0.25,143,21.0
Terminator,0.25,153,13.0
Terminator,0.25,189,21.0
Terminator,0.25,191,24.0
Terminator,0.25,170,16.0
Terminator,0.25,171,18.0
Terminator,0.25,121,13.0
Terminator,0.25,36,5.0
Terminator,0.25,178,24.0
Terminator,0.25,152,27.0
Terminator,0.25,56,2.0
Terminator,0.25,115,15.0
Terminator,0.25,219,25.0
Terminator,0.25,16,2.0
Terminator,0.25,210,21.0
Terminator,0.25,28,3.0
Terminator,0.25,347,38.0
Terminator,0.25,141,5.0
Terminator,0.25,139,15.0
Terminator,0.25,70,8.0
Terminator,0.25,341,43.0
Terminator,0.25,124,22.0
Terminator,0.25,153,18.0
Terminator,0.25,384,61.0
Terminator,0.25,17,1.0
Terminator,0.25,55,3.0
Terminator,0.25,16,2.0
Terminator,0.25,19,1.0
Terminator,0.25,322,45.0
Terminator,0.25,76,5.0
Terminator,0.25,41,6.0
Terminator,0.25,383,63.0
Terminator,0.25,126,21.0
Terminator,0.25,78,13.0
Terminator,0.25,473,83.0
Terminator,0.25,61,10.0
Terminator,0.25,119,21.0
Terminator,0.25,17,6.0
Terminator,0.25,55,4.0
Terminator,0.25,153,23.0
Terminator,0.25,158,42.0
Terminator,0.25,87,6.0
Terminator,0.25,132,16.0
Terminator,0.25,146,9.0
Terminator,0.25,33,5.0
Terminator,0.25,66,6.0
Terminator,0.25,130,21.0
Terminator,0.25,179,20.0
Terminator,0.25,308,37.0
Terminator,0.25,77,12.0
Terminator,0.25,91,8.0
Terminator,0.25,191,26.0
Terminator,0.25,69,6.0
Terminator,0.25,70,6.0
Terminator,0.25,500,100.0
Terminator,0.25,6,0.0
Terminator,0.25,371,37.0
Terminator,0.25,47,7.0
Terminator,0.25,187,14.0
Terminator,0.25,363,47.0
Terminator,0.25,198,48.0
Terminator,0.25,76,8.0
Terminator,0.25,111,9.0
Terminator,0.25,74,11.0
Terminator,0.25,39,8.0
Terminator,0.25,83,2.0
Terminator,0.25,61,7.0
Terminator,0.25,433,46.0
Terminator,0.25,67,12.0
Terminator,0.25,239,27.0
Terminator,0.25,122,8.0
Terminator,0.25,73,11.0
Terminator,0.25,204,43.0
Terminator,0.25,36,3.0
Terminator,0.25,24,4.0
Terminator,0.25,146,40.0
Terminator,0.25,34,3.0
Terminator,0.25,91,14.0
Terminator,0.25,380,48.0
Terminator,0.25,313,55.0
Terminator,0.25,14,4.0
Terminator,0.5,10,2.0
Terminator,0.5,26,2.0
Terminator,0.5,40,5.0
Terminator,0.5,23,3.0
Terminator,0.5,146,11.0
Terminator,0.5,201,15.0
Terminator,0.5,6,0.0
Terminator,0.5,226,25.0
Terminator,0.5,34,4.0
Terminator,0.5,274,16.0
Terminator,0.5,130,8.0
Terminator,0.5,130,8.0
Terminator,0.5,430,63.0
Terminator,0.5,474,47.0
Terminator,0.5,287,27.0
Terminator,0.5,500,36.0
Terminator,0.5,500,56.0
Terminator,0.5,153,8.0
Terminator,0.5,117,6.0
Terminator,0.5,355,42.0
Terminator,0.5,50,5.0
Terminator,0.5,212,40.0
Terminator,0.5,313,33.0
Terminator,0.5,299,42.0
Terminator,0.5,500,62.0
Terminator,0.5,63,3.0
Terminator,0.5,419,27.0
Terminator,0.5,10,0.0
Terminator,0.5,500,85.0
Terminator,0.5,145,18.0
Terminator,0.5,400,28.0
Terminator,0.5,430,62.0
Terminator,0.5,295,53.0
Terminator,0.5,175,10.0
Terminator,0.5,223,26.0
Terminator,0.5,94,3.0
Terminator,0.5,348,48.0
Terminator,0.5,500,59.0
Terminator,0.5,97,11.0
Terminator,0.5,312,52.0
Terminator,0.5,206,20.0
Terminator,0.5,218,11.0
Terminator,0.5,153,7.0
Terminator,0.5,268,44.0
Terminator,0.5,235,26.0
Terminator,0.5,500,60.0
Terminator,0.5,257,46.0
Terminator,0.5,68,4.0
Terminator,0.5,474,59.0
Terminator,0.5,12,0.0
Terminator,0.5,435,64.0
Terminator,0.5,202,22.0
Terminator,0.5,78,5.0
Terminator,0.5,159,17.0
Terminator,0.5,248,15.0
Terminator,0.5,407,24.0
Terminator,0.5,59,3.0
Terminator,0.5,321,45.0
Terminator,0.5,5,0.0
Terminator,0.5,131,7.0
Terminator,0.5,36,1.0
Terminator,0.5,46,7.0
Terminator,0.5,249,15.0
Terminator,0.5,236,43.0
Terminator,0.5,66,3.0
Terminator,0.5,93,12.0
Terminator,0.5,87,7.0
Terminator,0.5,139,16.0
Terminator,0.5,160,8.0
Terminator,0.5,205,40.0
Terminator,0.5,41,1.0
Terminator,0.5,40,3.0
Terminator,0.5,53,8.0
Terminator,0.5,431,62.0
Terminator,0.5,54,5.0
Terminator,0.5,143,17.0
Terminator,0.5,451,46.0
Terminator,0.5,94,4.0
Terminator,0.5,443,50.0
Terminator,0.5,435,82.0
Terminator,0.5,128,11.0
Terminator,0.5,159,13.0
Terminator,0.5,126,15.0
Terminator,0.5,500,53.0
Terminator,0.5,71,3.0
Terminator,0.5,22,0.0
Terminator,0.5,306,43.0
Terminator,0.5,25,2.0
Terminator,0.5,8,1.0
Terminator,0.5,14,0.0
Terminator,0.5,49,3.0
Terminator,0.5,248,26.0
Terminator,0.5,295,41.0
Terminator,0.5,258,24.0
Terminator,0.5,236,26.0
Terminator,0.5,450,65.0
Terminator,0.5,157,18.0
Terminator,0.5,31,2.0
Terminator,0.5,265,40.0
Terminator,0.5,500,52.0
Terminator,0.75,5,0.0
Terminator,0.75,69,5.0
Terminator,0.75,82,9.0
Terminator,0.75,159,7.0
Terminator,0.75,105,10.0
Terminator,0.75,108,8.0
Terminator,0.75,85,5.0
Terminator,0.75,311,46.0
Terminator,0.75,325,47.0
Terminator,0.75,365,40.0
Terminator,0.75,54,5.0
Terminator,0.75,388,45.0
Terminator,0.75,393,49.0
Terminator,0.75,41,1.0
Terminator,0.75,62,7.0
Terminator,0.75,263,41.0
Terminator,0.75,306,42.0
Terminator,0.75,127,11.0
Terminator,0.75,27,6.0
Terminator,0.75,223,41.0
Terminator,0.75,66,11.0
Terminator,0.75,286,41.0
Terminator,0.75,399,54.0
Terminator,0.75,270,44.0
Terminator,0.75,384,48.0
Terminator,0.75,42,5.0
Terminator,0.75,248,22.0
Terminator,0.75,365,48.0
Terminator,0.75,469,53.0
Terminator,0.75,37,3.0
Terminator,0.75,500,76.0
Terminator,0.75,9,0.0
Terminator,0.75,335,50.0
Terminator,0.75,21,2.0
Terminator,0.75,24,2.0
Terminator,0.75,46,7.0
Terminator,0.75,138,17.0
Terminator,0.75,411,49.0
Terminator,0.75,27,2.0
Terminator,0.75,170,14.0
Terminator,0.75,153,19.0
Terminator,0.75,259,43.0
Terminator,0.75,32,2.0
Terminator,0.75,500,68.0
Terminator,0.75,258,42.0
Terminator,0.75,78,6.0
Terminator,0.75,35,6.0
Terminator,0.75,196,26.0
Terminator,0.75,74,5.0
Terminator,0.75,59,5.0
Terminator,0.75,18,2.0
Terminator,0.75,500,63.0
Terminator,0.75,212,21.0
Terminator,0.75,500,68.0
Terminator,0.75,500,40.0
Terminator,0.75,20,0.0
Terminator,0.75,500,87.0
Terminator,0.75,58,5.0
Terminator,0.75,106,11.0
Terminator,0.75,500,87.0
Terminator,0.75,311,38.0
Terminator,0.75,192,40.0
Terminator,0.75,62,7.0
Terminator,0.75,50,3.0
Terminator,0.75,500,68.0
Terminator,0.75,215,40.0
Terminator,0.75,81,3.0
Terminator,0.75,225,40.0
Terminator,0.75,65,4.0
Terminator,0.75,500,70.0
Terminator,0.75,189,14.0
Terminator,0.75,292,44.0
Terminator,0.75,137,12.0
Terminator,0.75,500,65.0
Terminator,0.75,192,40.0
Terminator,0.75,17,0.0
Terminator,0.75,96,7.0
Terminator,0.75,73,3.0
Terminator,0.75,390,61.0
Terminator,0.75,199,41.0
Terminator,0.75,500,62.0
Terminator,0.75,47,2.0
Terminator,0.75,42,6.0
Terminator,0.75,31,1.0
Terminator,0.75,500,76.0
Terminator,0.75,267,34.0
Terminator,0.75,500,66.0
Terminator,0.75,69,4.0
Terminator,0.75,500,44.0
Terminator,0.75,218,19.0
Terminator,0.75,111,12.0
Terminator,0.75,232,25.0
Terminator,0.75,321,46.0
Terminator,0.75,500,80.0
Terminator,0.75,256,40.0
Terminator,0.75,242,44.0
Terminator,0.75,12,0.0
Terminator,0.75,370,43.0
Terminator,0.75,71,6.0
Terminator,0.75,500,62.0
Terminator,0.9,29,2.0
Terminator,0.9,30,1.0
Terminator,0.9,116,15.0
