         6480212 function calls (6193349 primitive calls) in 49.846 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   49.867   24.934 /usr/local/lib/python3.8/dist-packages/IPython/core/interactiveshell.py:3361(run_code)
        2    0.000    0.000   49.867   24.934 {built-in method builtins.exec}
        1    0.000    0.000   49.867   49.867 /tmp/ipykernel_21839/1092533491.py:8(<cell line: 8>)
    30/10    0.001    0.000   49.536    4.954 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/py_environment.py:198(step)
       10    0.012    0.001   49.535    4.954 /tmp/ipykernel_21839/1781336316.py:147(_step)
       10    0.002    0.000   26.825    2.682 /tmp/ipykernel_21839/1781336316.py:155(<listcomp>)
      640    0.020    0.000   26.822    0.042 /tmp/ipykernel_21839/1781336316.py:159(_create_time_step)
      640    0.029    0.000   26.775    0.042 /tf/mlrl/meta/meta_env.py:536(observe)
      640    0.047    0.000   14.813    0.023 /tmp/ipykernel_21839/1781336316.py:107(get_expansion_requests)
      640    0.018    0.000   14.702    0.023 /tf/mlrl/meta/meta_env.py:499(act)
      640    0.009    0.000   12.724    0.020 /tf/mlrl/meta/meta_env.py:285(get_observation)
      640    0.013    0.000   12.707    0.020 /tf/mlrl/meta/tree_tokenisation.py:148(tokenise)
      640    0.099    0.000   12.518    0.020 /tf/mlrl/meta/tree_tokenisation.py:150(<listcomp>)
      686    0.008    0.000   11.691    0.017 /tf/mlrl/meta/meta_env.py:151(<lambda>)
      686    0.014    0.000   11.683    0.017 /tf/mlrl/meta/tree_policy.py:117(__init__)
    17832    0.793    0.000   11.185    0.001 /tf/mlrl/meta/tree_tokenisation.py:98(node_tokenisation)
      502    0.005    0.000    8.293    0.017 /tf/mlrl/meta/meta_env.py:484(perform_computational_action)
      686    0.004    0.000    8.201    0.012 /tf/mlrl/meta/q_estimation.py:110(estimate_and_cache_optimal_q_values)
18422/686    0.134    0.000    8.197    0.012 /tf/mlrl/meta/q_estimation.py:84(estimate_optimal_q_distribution)
18422/686    0.480    0.000    8.183    0.012 /tf/mlrl/meta/q_estimation.py:95(<dictcomp>)
147376/5488    2.685    0.000    8.164    0.001 /tf/mlrl/meta/q_estimation.py:38(estimate_optimal_q_value)
       10    0.051    0.005    7.118    0.712 /tmp/ipykernel_21839/1781336316.py:117(handle_requests)
   105664    0.443    0.000    6.001    0.000 /tf/mlrl/meta/search_tree.py:214(duplicate_state_ancestor)
      502    0.107    0.000    5.875    0.012 /tf/mlrl/meta/tree_tokenisation.py:180(get_node_idx)
     9221    0.045    0.000    5.840    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1123(_numpy)
     9221    5.795    0.001    5.795    0.001 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
   105664    0.854    0.000    5.558    0.000 /tf/mlrl/meta/search_tree.py:224(find_duplicate_state_ancestor)
     8865    0.042    0.000    5.510    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1069(__bool__)
   266538    1.691    0.000    5.322    0.000 /tf/mlrl/meta/search_tree.py:88(__eq__)
    16184    4.957    0.000    5.017    0.000 /usr/local/lib/python3.8/dist-packages/gym3/libenv.py:383(call_c_func)
31433/21070    0.204    0.000    5.004    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
