         17726585 function calls (16906589 primitive calls) in 125.474 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000  125.503   62.751 /usr/local/lib/python3.8/dist-packages/IPython/core/interactiveshell.py:3361(run_code)
        2    0.000    0.000  125.502   62.751 {built-in method builtins.exec}
        1    0.000    0.000  125.502  125.502 /tmp/ipykernel_9603/2037903850.py:13(<cell line: 13>)
   650/10    0.006    0.000  125.325   12.532 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/py_environment.py:198(step)
       10    0.000    0.000  125.324   12.532 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/batched_py_environment.py:150(_step)
       10    0.000    0.000  124.858   12.486 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/batched_py_environment.py:104(_execute)
       10    0.002    0.000  124.858   12.486 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/batched_py_environment.py:108(<listcomp>)
      640    0.003    0.000  124.856    0.195 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/batched_py_environment.py:174(<lambda>)
      545    0.008    0.000  123.419    0.226 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/gym_wrapper.py:206(_step)
      545    0.018    0.000  123.071    0.226 /tf/mlrl/meta/meta_env.py:425(step)
   663412    3.268    0.000   57.560    0.000 /tf/mlrl/meta/search_tree.py:91(__hash__)
      450    0.003    0.000   56.745    0.126 /tf/mlrl/meta/meta_env.py:410(perform_computational_action)
      450    0.018    0.000   51.136    0.114 /tf/mlrl/meta/search_tree.py:512(expand_all)
     3600    0.050    0.000   49.722    0.014 /tf/mlrl/meta/search_tree.py:526(expand_action)
1157372/633100    9.880    0.000   46.669    0.000 {built-in method builtins.hash}
   663412   46.046    0.000   46.046    0.000 /tf/mlrl/procgen/procgen_state.py:120(get_state_string)
     3600    0.087    0.000   45.655    0.013 /tf/mlrl/meta/search_tree.py:264(expand_node)
     3790    0.016    0.000   44.413    0.012 /tf/mlrl/procgen/procgen_state.py:59(extract_state)
     3790    0.104    0.000   44.397    0.012 /tf/mlrl/procgen/procgen_state.py:82(__init__)
     3790    0.115    0.000   43.358    0.011 /tf/mlrl/procgen/procgen_state.py:26(call)
   230456    1.073    0.000   42.655    0.000 /tf/mlrl/meta/search_tree.py:87(__eq__)
    93466    0.302    0.000   39.251    0.000 /tf/mlrl/meta/search_tree.py:213(duplicate_state_ancestor)
    93466    0.540    0.000   38.950    0.000 /tf/mlrl/meta/search_tree.py:223(find_duplicate_state_ancestor)
     3790    0.129    0.000   35.611    0.009 /usr/local/lib/python3.8/dist-packages/tf_agents/networks/network.py:349(__call__)
26530/7580    0.185    0.000   32.504    0.004 /usr/local/lib/python3.8/dist-packages/keras/utils/traceback_utils.py:58(error_handler)
26530/7580    1.740    0.000   32.405    0.004 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:893(__call__)
      640    0.003    0.000   30.283    0.047 /tf/mlrl/meta/meta_env.py:151(<lambda>)
      640    0.007    0.000   30.280    0.047 /tf/mlrl/meta/tree_policy.py:117(__init__)
26530/7580    0.121    0.000   26.550    0.004 /usr/local/lib/python3.8/dist-packages/keras/utils/traceback_utils.py:88(error_handler)
